symptom,drug,timing,Freq
腰痛,新セデス錠,痛みが我慢できなくなったとき・熱が高くなったとき,2
腰痛,新セデス錠,その他,1
腰痛,セデスハイ,痛くなりそうなとき・熱が出そうなとき,0
腰痛,セデスハイ,痛くなったとき・熱が出始めたとき,4
腰痛,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,1
腰痛,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
腰痛,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,10
腰痛,セデスハイ,その他,0
腰痛,セデスV,痛くなりそうなとき・熱が出そうなとき,1
腰痛,セデスV,痛くなったとき・熱が出始めたとき,6
腰痛,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,5
腰痛,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,5
腰痛,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,9
腰痛,セデスV,その他,1
腰痛,セデスキュア,痛くなりそうなとき・熱が出そうなとき,2
腰痛,セデスキュア,痛くなったとき・熱が出始めたとき,8
腰痛,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,4
腰痛,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
腰痛,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,5
腰痛,セデスキュア,その他,1
腰痛,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,2
腰痛,ノーシン錠,痛くなったとき・熱が出始めたとき,5
腰痛,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,2
腰痛,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
腰痛,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,7
腰痛,ノーシン錠,その他,1
腰痛,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,0
腰痛,ノーシンピュア,痛くなったとき・熱が出始めたとき,2
腰痛,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,0
腰痛,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
